,id,mu,sigma
0,Dignitas,27.362716370749975,0.8156533491913357
1,Team BDS,27.308511541292653,0.8245702512908816
2,Team Queso,27.15501464588648,0.7947568258521439
3,Endpoint,27.157841926201936,0.808795276950109
4,Monkeys,31.145465736247747,3.173739952593331
5,Evil Geniuses,25.78561830625845,0.8045281602765504
6,Luminosity Gaming,25.89059678439077,0.9078982303598924
7,SMPR Esports,25.654194553923507,0.8293057466711432
8,Misfits Gaming,25.31218646816851,0.8354135259235621
9,Karmine Corp,25.214092392795305,0.8231433904832108
10,Williams Resolve,24.745003416349025,0.8032167844218755
11,Guild Esports,24.63486338099173,0.8160790731421927
12,Team Vitality,24.463204646357955,0.8392879301528546
13,The Flying Dutchmen,24.789642568074218,1.022572811769704
14,T E A,27.241739016885578,2.2588321702108334
15,FC Barcelona,24.239187326063487,0.9257800580186836
16,00 Nation,23.905588382453477,0.8094257663914219
17,Natus Vincere,23.266715277879978,0.849081845742545
18,Kuxir's Minions,23.006778022227998,0.8314641123497352
19,Team Singularity,22.90087758345743,0.9011829260950721
20,Fadeaway,25.479222261568598,2.1981578665459884
21,Vodafone Giants,22.811000917988288,0.9104852086877862
22,Rix.GG,22.49937355720184,0.942604168254628
23,Stormtroopers,22.633786615096277,1.060217145665196
24,SK Gaming,22.222030127386162,0.8785822428465867
25,Heroic,21.82808094684427,1.0097008821972415
26,Triple Trouble,23.32157628525463,1.7649773313391721
27,Pepepitos Canyons,22.524925677743514,1.4006782122375034
28,London Esports,22.351881848644624,1.6890829507588172
29,Savage!,21.14988253452208,1.1690138595816237
30,Team Liquid,19.605818809597146,1.1276959462610334
31,WYLDE,19.81779167894647,1.3929581017763075
32,Germark,20.16566808659435,2.039955188395673
33,BS+COMPETITION,18.54693391505707,1.3229820183449106
34,Solary,19.60272505215504,1.8941590082018158
35,IziDream,18.35552819559684,2.178506469419201
36,GigaGuys,16.5900197070536,2.3179794464360195
37,Lille Esport,15.477296171711242,1.8483284557409565
38,pikete galáctico,16.472744594772116,2.6996299881444084
39,yeezys,14.962550255827463,2.385563841428197
40,mamt,12.726846945327045,3.009659932778205
41,Ferg & Co,15.777409255492561,5.277475990627853
