,id,mu,sigma
0,FURIA Esports,31.76968831059552,0.8519831231197972
1,Noble esports,30.950407993932156,0.8474658430186734
2,eRa Eternity,29.287082720559354,0.8247774373358461
3,KRÜ Esports,28.590604306564213,0.9041504762692122
4,EndGame,27.87250861720281,0.8390606421276361
5,Chromax,27.95274052499116,0.968085329347126
6,Team Secret,28.635636789215273,1.4158450419982187
7,Novus Aevi,27.153786626068666,0.9045372635130919
8,Vegas Inferno,26.57808348424526,0.873341594634958
9,Dream Conspiracy,26.495399802630274,0.8491005844350248
10,Elevate,26.493764993630784,0.8947730481276803
11,Atypical,26.630265850345786,1.05531891579177
12,Papo de Visão,26.73830175771677,1.1870012730362822
13,Ruby,26.42840192239919,1.0704117982745773
14,Leviatán Esports,26.119271926361538,0.9509551404712269
15,Team Signal,26.052761559168392,1.0373494925781785
16,The Three Sins,26.780492958451838,1.4999159143151382
17,True Neutral,24.514821175529597,1.1102156221185768
18,Vipers eSports,23.968174039484857,0.8545242396712538
19,Freedom,24.604128788207408,1.632421714761307
20,Dracon Esports,25.18661610433141,2.0198549655727636
21,RED,24.425297965050476,1.8275209745376706
22,Guidance Gaming,22.41535986512508,1.0464356903421514
23,LeaveNoWitness,22.486807133493745,1.225060217154648
24,Garibaldo de bilutetéia,23.97170183600708,2.0005657757031807
25,Timeless,24.273952934235943,2.161057756133145
26,Legacy,22.74244686517516,1.4700456196124325
27,Wifu,22.205333451777484,1.2265357406355468
28,Endlxss Team,21.99218403432477,1.465318252094667
29,FTW Esports,21.231378538293537,1.1067704174393562
30,Scarlet Esports,23.396209357565816,2.3141449061489
31,Shoot'em,21.28026690422258,1.5240546946491649
32,Locusts,21.053922287646508,1.5278485901525753
33,Neoxy Team,23.031022936661177,2.9224986073595844
34,Nocturns Gaming,19.20904894044767,1.3031716849365338
35,Ballistic,19.143531489283546,1.5330358916379867
36,Emit7,18.90581409871638,1.9431414805603278
37,Treino de bíceps,22.512150010814217,3.766371269075328
38,InControl Nation,19.21179931137791,2.187064506557928
39,bandido não dança,21.059813577231438,3.155444964883673
40,"Ainda, cria",17.777097911060608,1.6011076559922899
41,Wilson Impressoras,21.205799655280085,3.4050461683465816
42,Nice Try!,18.706039361299126,2.16626591573174
43,aquarose,18.72843643397704,2.429458518393216
44,Ankor Gaming,18.01473445053462,2.2550615431528818
45,Los Malvekes,19.17643280635117,3.116815377053867
46,Naiz Esports,18.559144754810053,3.2879674931979674
47,SACRED INFINITY,17.963155360146963,3.4710859388084017
48,heart alligator,16.522200279829274,3.5392111058802516
49,Qshaws,15.122893589473442,2.942708564405975
50,Benz Truck,16.75516466515721,3.9304165643287985
51,Avarice,18.456872516768836,5.492300908039781
52,Insight,16.20815376852158,5.163809129085938
53,Tropa do Zeca,15.144085150945983,4.816106053318505
54,Cosmic Wolf,15.395508396473208,5.115164173628343
55,Paradise,15.003032588366029,5.0691648253491755
56,Flip FC,13.544347706720602,4.717239650648393
