,id,blue,orange,match
0,616004f3143c37878b238690,2,1,6159ad3d143c37878b2384a9
1,616004f7143c37878b238697,4,2,6159ad3d143c37878b2384a9
2,616004fc143c37878b23869e,3,2,6159ad3d143c37878b2384a9
3,61614e40f8090ec74528706b,8,0,6159ad3d143c37878b2384aa
4,61614e45143c37878b2387b8,6,2,6159ad3d143c37878b2384aa
5,61614e4a143c37878b2387bf,7,2,6159ad3d143c37878b2384aa
6,616150a6f8090ec74528710c,2,1,6159ad3d143c37878b2384ab
7,616150aa143c37878b238860,7,2,6159ad3d143c37878b2384ab
8,616150ae143c37878b238867,0,1,6159ad3d143c37878b2384ab
9,616150b3f8090ec745287113,3,2,6159ad3d143c37878b2384ab
10,6160059af8090ec745286ebf,6,3,6159ad3d143c37878b2384ac
11,6160059f143c37878b2386c8,10,2,6159ad3d143c37878b2384ac
12,616005a4143c37878b2386cf,3,1,6159ad3d143c37878b2384ac
13,61614f25f8090ec74528708e,2,0,6159ad3d143c37878b2384ae
14,61614f29143c37878b2387e9,4,0,6159ad3d143c37878b2384ae
15,61614f2e143c37878b2387f0,1,0,6159ad3d143c37878b2384ae
16,61614fd7f8090ec7452870c6,3,2,6159ad3d143c37878b2384af
17,61614fdcf8090ec7452870cd,1,4,6159ad3d143c37878b2384af
18,61614fe1143c37878b23881a,1,3,6159ad3d143c37878b2384af
19,61614fe6143c37878b238821,0,1,6159ad3d143c37878b2384af
20,616005e1143c37878b2386d6,0,2,6159ad3d143c37878b2384b1
21,616005e5f8090ec745286ec6,4,6,6159ad3d143c37878b2384b1
22,616005e9143c37878b2386dd,2,3,6159ad3d143c37878b2384b1
23,61614ef2143c37878b2387e2,2,1,6159ad3d143c37878b2384b2
24,61614ef6f8090ec745287080,2,1,6159ad3d143c37878b2384b2
25,61614efcf8090ec745287087,4,2,6159ad3d143c37878b2384b2
26,61614e6b143c37878b2387c6,1,2,6159ad3d143c37878b2384b3
27,61614e70f8090ec745287072,6,3,6159ad3d143c37878b2384b3
28,61614e74f8090ec745287079,3,2,6159ad3d143c37878b2384b3
