,id,start,blue_score,orange_score,blue_id,orange_id,blue_name,orange_name,event
27,6159ad3d143c37878b2384c4,2021-10-08T08:15:00Z,3.0,1.0,6020c1fbf1e4807cc7026852,615580e2f8090ec745286b17,Vort Central,joE,614b7046f8090ec74528642d
28,6159ad3d143c37878b2384c5,2021-10-08T08:15:00Z,3.0,1.0,60ffd7dc9d3c410761e88c74,6091ad1bd50a7d046663343d,Rancid Rats Reborn,Team Eros,614b7046f8090ec74528642d
29,6159ad3d143c37878b2384c6,2021-10-08T08:15:00Z,1.0,3.0,6156d4db143c37878b238367,604e562301d675f81a96aea6,Trident Esports,Big GOOSE,614b7046f8090ec74528642d
30,6159ad3d143c37878b2384c7,2021-10-08T09:00:00Z,3.0,,6020c1fbf1e4807cc7026852,615c068f143c37878b238569,Vort Central,The Grogans,614b7046f8090ec74528642d
31,6159ad3d143c37878b2384c8,2021-10-08T09:00:00Z,3.0,2.0,615ffec8143c37878b23868f,604e562301d675f81a96aea6,Forkidden,Big GOOSE,614b7046f8090ec74528642d
32,6159ad3d143c37878b2384c9,2021-10-08T09:00:00Z,3.0,,60ffd7dc9d3c410761e88c74,615332c4143c37878b237fa6,Rancid Rats Reborn,Wildcard Gaming,614b7046f8090ec74528642d
33,6159ac68143c37878b238468,2021-10-08T23:00:00Z,3.0,,6020bc70f1e4807cc7002389,6020c306f1e4807cc702ce5f,Spacestation Gaming,Vibrance,614b6e37f8090ec74528642a
34,6159ac68143c37878b238469,2021-10-08T23:00:00Z,3.0,,6020bc70f1e4807cc70023b2,6020bd98f1e4807cc700dc33,Team Envy,Oxygen Esports,614b6e37f8090ec74528642a
35,6159ac68143c37878b23846a,2021-10-08T23:00:00Z,3.0,2.0,6081af87b35d3cf552e29721,6155f238f8090ec745286bd0,Shopify Rebellion,Torrent,614b6e37f8090ec74528642a
36,6159ac68143c37878b23846b,2021-10-08T23:00:00Z,3.0,1.0,605aca6853a71a78eacbc155,6020bc70f1e4807cc70023fd,FaZe Clan,Ghost Gaming,614b6e37f8090ec74528642a
37,6159ac68143c37878b23846c,2021-10-08T23:00:00Z,3.0,2.0,6020bc70f1e4807cc70023a5,6020bd98f1e4807cc700dc34,G2 Esports,Susquehanna Soniqs,614b6e37f8090ec74528642a
38,6159ac68143c37878b23846d,2021-10-08T23:00:00Z,,3.0,6020c1bff1e4807cc7025907,6020c1cdf1e4807cc7025d03,XSET,Version1,614b6e37f8090ec74528642a
39,6159ac68143c37878b23846e,2021-10-08T23:00:00Z,3.0,,6020bda0f1e4807cc700e078,6020bc70f1e4807cc7002386,True Neutral,Rogue,614b6e37f8090ec74528642a
40,6161d68b143c37878b23896d,2021-10-08T23:00:00Z,3.0,1.0,6020bc70f1e4807cc70023a0,6020c1bef1e4807cc70258d0,NRG Esports,Pioneers,614b6e37f8090ec74528642a
41,6159ac68143c37878b23846f,2021-10-08T23:45:00Z,,3.0,6020bc70f1e4807cc7002389,6020bc70f1e4807cc70023a5,Spacestation Gaming,G2 Esports,614b6e37f8090ec74528642a
42,6159ac68143c37878b238470,2021-10-08T23:45:00Z,2.0,3.0,6020bc70f1e4807cc70023b2,6081af87b35d3cf552e29721,Team Envy,Shopify Rebellion,614b6e37f8090ec74528642a
43,6159ac68143c37878b238471,2021-10-08T23:45:00Z,,3.0,6020bda0f1e4807cc700e078,605aca6853a71a78eacbc155,True Neutral,FaZe Clan,614b6e37f8090ec74528642a
44,6159ac68143c37878b238472,2021-10-08T23:45:00Z,,3.0,6020c1cdf1e4807cc7025d03,6020bc70f1e4807cc70023a0,Version1,NRG Esports,614b6e37f8090ec74528642a
45,6159ac68143c37878b238473,2021-10-08T23:45:00Z,3.0,1.0,6020bd98f1e4807cc700dc34,6020c306f1e4807cc702ce5f,Susquehanna Soniqs,Vibrance,614b6e37f8090ec74528642a
46,6159ac68143c37878b238474,2021-10-08T23:45:00Z,3.0,1.0,6155f238f8090ec745286bd0,6020bd98f1e4807cc700dc33,Torrent,Oxygen Esports,614b6e37f8090ec74528642a
47,6159ac68143c37878b238475,2021-10-08T23:45:00Z,3.0,,6020bc70f1e4807cc70023fd,6020bc70f1e4807cc7002386,Ghost Gaming,Rogue,614b6e37f8090ec74528642a
48,6159ac68143c37878b238476,2021-10-08T23:45:00Z,3.0,2.0,6020c1bef1e4807cc70258d0,6020c1bff1e4807cc7025907,Pioneers,XSET,614b6e37f8090ec74528642a
49,6159ac68143c37878b238477,2021-10-09T00:30:00Z,3.0,1.0,6020bc70f1e4807cc70023a0,6081af87b35d3cf552e29721,NRG Esports,Shopify Rebellion,614b6e37f8090ec74528642a
50,6159ac68143c37878b238478,2021-10-09T00:30:00Z,1.0,3.0,6020bc70f1e4807cc70023a5,605aca6853a71a78eacbc155,G2 Esports,FaZe Clan,614b6e37f8090ec74528642a
51,6159ac68143c37878b238479,2021-10-09T00:30:00Z,3.0,,6020bc70f1e4807cc70023b2,6020c1bef1e4807cc70258d0,Team Envy,Pioneers,614b6e37f8090ec74528642a
52,6159ac68143c37878b23847a,2021-10-09T00:30:00Z,3.0,,6020c1cdf1e4807cc7025d03,6020bd98f1e4807cc700dc34,Version1,Susquehanna Soniqs,614b6e37f8090ec74528642a
53,6159ac68143c37878b23847b,2021-10-09T00:30:00Z,3.0,1.0,6020bda0f1e4807cc700e078,6020bc70f1e4807cc70023fd,True Neutral,Ghost Gaming,614b6e37f8090ec74528642a
54,6159ac68143c37878b23847c,2021-10-09T00:30:00Z,3.0,1.0,6020bc70f1e4807cc7002389,6155f238f8090ec745286bd0,Spacestation Gaming,Torrent,614b6e37f8090ec74528642a
55,6159ac68143c37878b23847d,2021-10-09T00:30:00Z,3.0,,6020c1bff1e4807cc7025907,6020bc70f1e4807cc7002386,XSET,Rogue,614b6e37f8090ec74528642a
56,6159ac68143c37878b23847e,2021-10-09T00:30:00Z,1.0,3.0,6020c306f1e4807cc702ce5f,6020bd98f1e4807cc700dc33,Vibrance,Oxygen Esports,614b6e37f8090ec74528642a
57,6159ac68143c37878b23847f,2021-10-09T01:15:00Z,3.0,1.0,6020bc70f1e4807cc70023a5,6020bda0f1e4807cc700e078,G2 Esports,True Neutral,614b6e37f8090ec74528642a
58,6159ac68143c37878b238480,2021-10-09T01:15:00Z,2.0,3.0,6081af87b35d3cf552e29721,6020bc70f1e4807cc7002389,Shopify Rebellion,Spacestation Gaming,614b6e37f8090ec74528642a
59,6159ac68143c37878b238481,2021-10-09T01:15:00Z,3.0,2.0,6020bc70f1e4807cc70023b2,6020c1cdf1e4807cc7025d03,Team Envy,Version1,614b6e37f8090ec74528642a
60,6159ac68143c37878b238482,2021-10-09T01:15:00Z,3.0,2.0,6020bc70f1e4807cc70023fd,6020bd98f1e4807cc700dc33,Ghost Gaming,Oxygen Esports,614b6e37f8090ec74528642a
61,6159ac68143c37878b238483,2021-10-09T01:15:00Z,3.0,1.0,6155f238f8090ec745286bd0,6020c1bff1e4807cc7025907,Torrent,XSET,614b6e37f8090ec74528642a
62,6159ac68143c37878b238484,2021-10-09T01:15:00Z,3.0,,6020bd98f1e4807cc700dc34,6020c1bef1e4807cc70258d0,Susquehanna Soniqs,Pioneers,614b6e37f8090ec74528642a
63,6159ac68143c37878b238485,2021-10-09T02:00:00Z,,3.0,6020c1cdf1e4807cc7025d03,6020bc70f1e4807cc70023fd,Version1,Ghost Gaming,614b6e37f8090ec74528642a
64,6159ac68143c37878b238486,2021-10-09T02:00:00Z,1.0,3.0,6020bda0f1e4807cc700e078,6155f238f8090ec745286bd0,True Neutral,Torrent,614b6e37f8090ec74528642a
65,6159ac68143c37878b238487,2021-10-09T02:00:00Z,3.0,1.0,6081af87b35d3cf552e29721,6020bd98f1e4807cc700dc34,Shopify Rebellion,Susquehanna Soniqs,614b6e37f8090ec74528642a
66,6159ad6b143c37878b2384ca,2021-10-10T06:00:00Z,3.0,2.0,604e562301d675f81a96aea6,6129f47987f814e9fb00020c,Big GOOSE,Tisi,614b7046f8090ec74528642d
67,6159ad6b143c37878b2384cb,2021-10-10T06:00:00Z,3.0,,615332c4143c37878b237fa6,616174ed143c37878b2388ca,Wildcard Gaming,Bougee's Angels,614b7046f8090ec74528642d
68,6159ad6b143c37878b2384cc,2021-10-10T06:00:00Z,3.0,1.0,615c068f143c37878b238569,6155c911143c37878b2382c1,The Grogans,Smasha5000,614b7046f8090ec74528642d
69,6159ad6b143c37878b2384cd,2021-10-10T06:00:00Z,3.0,,615580e2f8090ec745286b17,616174e2143c37878b2388c9,joE,Rust-eze,614b7046f8090ec74528642d
70,6159ad6b143c37878b2384ce,2021-10-10T06:00:00Z,1.0,3.0,6091ad1bd50a7d046663343d,616174d5f8090ec745287192,Team Eros,HMS Endeavor,614b7046f8090ec74528642d
71,6159ad6b143c37878b2384cf,2021-10-10T06:00:00Z,,3.0,6156d4db143c37878b238367,6020c3a2f1e4807cc70312c5,Trident Esports,Wazooo,614b7046f8090ec74528642d
72,6159ad6b143c37878b2384d0,2021-10-10T06:00:00Z,3.0,2.0,614c8930f8090ec745286474,6020c717f1e4807cc70490d6,Ranga Roundup,1620 Kings,614b7046f8090ec74528642d
73,6159ad6b143c37878b2384d1,2021-10-10T06:00:00Z,1.0,3.0,60c1e2879fc1a47e5f1116c8,615c06c0143c37878b23856a,Panik Gaming,Bros On Their Toes,614b7046f8090ec74528642d
74,6159ad6b143c37878b2384d2,2021-10-10T06:45:00Z,3.0,1.0,615332c4143c37878b237fa6,614c8930f8090ec745286474,Wildcard Gaming,Ranga Roundup,614b7046f8090ec74528642d
75,6159ad6b143c37878b2384d3,2021-10-10T06:45:00Z,3.0,1.0,604e562301d675f81a96aea6,615580e2f8090ec745286b17,Big GOOSE,joE,614b7046f8090ec74528642d
76,6159ad6b143c37878b2384d4,2021-10-10T06:45:00Z,1.0,3.0,6020c3a2f1e4807cc70312c5,616174d5f8090ec745287192,Wazooo,HMS Endeavor,614b7046f8090ec74528642d
77,6159ad6b143c37878b2384d5,2021-10-10T06:45:00Z,3.0,2.0,615c068f143c37878b238569,615c06c0143c37878b23856a,The Grogans,Bros On Their Toes,614b7046f8090ec74528642d
78,6159ad6b143c37878b2384d6,2021-10-10T06:45:00Z,3.0,1.0,6020c717f1e4807cc70490d6,6156d4db143c37878b238367,1620 Kings,Trident Esports,614b7046f8090ec74528642d
79,6159ad6b143c37878b2384d7,2021-10-10T06:45:00Z,3.0,,6129f47987f814e9fb00020c,616174ed143c37878b2388ca,Tisi,Bougee's Angels,614b7046f8090ec74528642d
80,6159ad6b143c37878b2384d8,2021-10-10T06:45:00Z,3.0,,60c1e2879fc1a47e5f1116c8,6155c911143c37878b2382c1,Panik Gaming,Smasha5000,614b7046f8090ec74528642d
81,6159ad6b143c37878b2384d9,2021-10-10T06:45:00Z,3.0,,6091ad1bd50a7d046663343d,616174e2143c37878b2388c9,Team Eros,Rust-eze,614b7046f8090ec74528642d
82,6159ad6b143c37878b2384da,2021-10-10T07:30:00Z,3.0,,615332c4143c37878b237fa6,615c068f143c37878b238569,Wildcard Gaming,The Grogans,614b7046f8090ec74528642d
83,6159ad6b143c37878b2384db,2021-10-10T07:30:00Z,1.0,3.0,604e562301d675f81a96aea6,616174d5f8090ec745287192,Big GOOSE,HMS Endeavor,614b7046f8090ec74528642d
84,6159ad6b143c37878b2384dc,2021-10-10T07:30:00Z,3.0,2.0,6020c717f1e4807cc70490d6,615580e2f8090ec745286b17,1620 Kings,joE,614b7046f8090ec74528642d
85,6159ad6b143c37878b2384dd,2021-10-10T07:30:00Z,3.0,1.0,614c8930f8090ec745286474,6129f47987f814e9fb00020c,Ranga Roundup,Tisi,614b7046f8090ec74528642d
86,6159ad6b143c37878b2384de,2021-10-10T07:30:00Z,3.0,,6020c3a2f1e4807cc70312c5,60c1e2879fc1a47e5f1116c8,Wazooo,Panik Gaming,614b7046f8090ec74528642d
87,6159ad6b143c37878b2384df,2021-10-10T07:30:00Z,,3.0,615c06c0143c37878b23856a,6091ad1bd50a7d046663343d,Bros On Their Toes,Team Eros,614b7046f8090ec74528642d
88,6159ad6b143c37878b2384e0,2021-10-10T07:30:00Z,3.0,,6156d4db143c37878b238367,616174ed143c37878b2388ca,Trident Esports,Bougee's Angels,614b7046f8090ec74528642d
89,6159ad6b143c37878b2384e1,2021-10-10T07:30:00Z,3.0,1.0,616174e2143c37878b2388c9,6155c911143c37878b2382c1,Rust-eze,Smasha5000,614b7046f8090ec74528642d
90,6159ad6b143c37878b2384e2,2021-10-10T08:15:00Z,3.0,2.0,604e562301d675f81a96aea6,6020c717f1e4807cc70490d6,Big GOOSE,1620 Kings,614b7046f8090ec74528642d
