,id,name,start,region
55,614b7501f8090ec745286436,RLCS 2021-22 Fall Asia-Pacific North Regional 3,2021-11-14T00:00:00Z,ASIA
56,61912154143c37878b23d438,RLCS 2021-22 Fall Major APAC Qualifier,2021-11-22T00:00:00Z,ASIA
57,6153502df8090ec745286978,RLCS 2021-22 Winter Asia-Pacific South Regional 1,2022-01-09T00:00:00Z,ASIA
58,61534dc7f8090ec745286961,RLCS 2021-22 Winter Asia-Pacific North Regional 1,2022-01-16T00:00:00Z,ASIA
59,615350ea143c37878b2380a1,RLCS 2021-22 Winter Asia-Pacific South Regional 2,2022-01-23T00:00:00Z,ASIA
60,61534e47f8090ec745286962,RLCS 2021-22 Winter Asia-Pacific North Regional 2,2022-01-30T00:00:00Z,ASIA
61,615351d2143c37878b2380a2,RLCS 2021-22 Winter Asia-Pacific South Regional 3,2022-02-13T00:00:00Z,ASIA
62,61534ef7f8090ec745286963,RLCS 2021-22 Winter Asia-Pacific North Regional 3,2022-02-20T00:00:00Z,ASIA
63,614b7e10f8090ec745286444,RLCS 2021-22 Spring Asia-Pacific South Regional 1,2022-04-23T23:00:00Z,ASIA
64,614b7d26f8090ec745286442,RLCS 2021-22 Spring Asia-Pacific North Regional 1,2022-04-30T23:00:00Z,ASIA
65,614b7e56143c37878b237b45,RLCS 2021-22 Spring Asia-Pacific South Regional 2,2022-05-07T23:00:00Z,ASIA
66,614b7d6cf8090ec745286443,RLCS 2021-22 Spring Asia-Pacific North Regional 2,2022-05-14T23:00:00Z,ASIA
67,614b7eaef8090ec745286445,RLCS 2021-22 Spring Asia-Pacific South Regional 3,2022-05-21T23:00:00Z,ASIA
68,614b7dae143c37878b237b44,RLCS 2021-22 Spring Asia-Pacific North Regional 3,2022-05-28T23:00:00Z,ASIA
