,id,name,start,region
54,614b7b88f8090ec745286440,RLCS 2021-22 Spring Middle East & North Africa Regional 1,2022-04-23T23:00:00Z,ME
55,614b7e10f8090ec745286444,RLCS 2021-22 Spring Asia-Pacific South Regional 1,2022-04-23T23:00:00Z,ASIA
56,614b77b5143c37878b237b3c,RLCS 2021-22 Spring Europe Regional 1,2022-04-30T23:00:00Z,EU
57,614b7aa9143c37878b237b40,RLCS 2021-22 Spring South America Regional 1,2022-04-30T23:00:00Z,SAM
58,614b7d26f8090ec745286442,RLCS 2021-22 Spring Asia-Pacific North Regional 1,2022-04-30T23:00:00Z,ASIA
59,614b7f01f8090ec745286446,RLCS 2021-22 Spring Sub-Saharan Africa Regional 1,2022-04-30T23:00:00Z,AF
60,614b78f1f8090ec74528643c,RLCS 2021-22 Spring North America Regional 2,2022-05-07T23:00:00Z,NA
61,614b7a1af8090ec74528643f,RLCS 2021-22 Spring Oceania Regional 2,2022-05-07T23:00:00Z,OCE
62,614b7bdbf8090ec745286441,RLCS 2021-22 Spring Middle East & North Africa Regional 2,2022-05-07T23:00:00Z,ME
63,614b7e56143c37878b237b45,RLCS 2021-22 Spring Asia-Pacific South Regional 2,2022-05-07T23:00:00Z,ASIA
64,614b7804f8090ec74528643b,RLCS 2021-22 Spring Europe Regional 2,2022-05-14T23:00:00Z,EU
65,614b7af3143c37878b237b41,RLCS 2021-22 Spring South America Regional 2,2022-05-14T23:00:00Z,SAM
66,614b7d6cf8090ec745286443,RLCS 2021-22 Spring Asia-Pacific North Regional 2,2022-05-14T23:00:00Z,ASIA
67,614b7f42f8090ec745286447,RLCS 2021-22 Spring Sub-Saharan Africa Regional 2,2022-05-14T23:00:00Z,AF
68,614b7975f8090ec74528643d,RLCS 2021-22 Spring North America Regional 3,2022-05-21T23:00:00Z,NA
69,614b7a5e143c37878b237b3f,RLCS 2021-22 Spring Oceania Regional 3,2022-05-21T23:00:00Z,OCE
70,614b7cbe143c37878b237b43,RLCS 2021-22 Spring Middle East & North Africa Regional 3,2022-05-21T23:00:00Z,ME
71,614b7eaef8090ec745286445,RLCS 2021-22 Spring Asia-Pacific South Regional 3,2022-05-21T23:00:00Z,ASIA
72,614b784c143c37878b237b3d,RLCS 2021-22 Spring Europe Regional 3,2022-05-28T23:00:00Z,EU
73,614b7b37143c37878b237b42,RLCS 2021-22 Spring South America Regional 3,2022-05-28T23:00:00Z,SAM
74,614b7dae143c37878b237b44,RLCS 2021-22 Spring Asia-Pacific North Regional 3,2022-05-28T23:00:00Z,ASIA
75,614b7f89f8090ec745286448,RLCS 2021-22 Spring Sub-Saharan Africa Regional 3,2022-05-28T23:00:00Z,AF
76,614b6a2a143c37878b237b36,RLCS 2021-22 Spring Major,2022-06-28T23:00:00Z,INT
77,614b6485f8090ec745286425,RLCS 2021-22 World Championship,2022-08-03T23:00:00Z,INT
