id,name,mu,sigma,region
6020bc96f1e4807cc7003e29,Complexity Gaming,29.812118238767937,4.256223034058712,NA
6020bc70f1e4807cc7002389,Spacestation Gaming,20.794526893186323,7.194816551480743,NA
6020bc70f1e4807cc70023e9,Dignitas,31.274586448911464,4.717015355830631,EU
60bbc8518029840609c3b437,Tokyo Verdy Esports,14.329159896196197,5.542709620142576,ASIA
6020bc70f1e4807cc70023b2,Team Envy,19.883277479572047,4.883805458229938,NA
6020bc8ef1e4807cc700391a,Ground Zero Gaming,23.023290933367335,4.450854424737964,OCE
6020bc70f1e4807cc70023a0,NRG Esports,30.532902258303352,3.3329127085819277,NA
6020bce6f1e4807cc70071af,eRa Eternity,14.943622692161906,5.561037293057315,SAM
6020bd98f1e4807cc700dc74,Team BDS,37.65475117538533,3.591928670642505,EU
6020bc70f1e4807cc70023fb,Renegades,23.028494675819232,4.505593265686297,OCE
6020bc70f1e4807cc70023d9,Endpoint,26.744867246742505,4.314343507951319,EU
6020bfd8f1e4807cc701ad54,Sandrock Gaming,27.695677230460188,4.3940477872154515,ME
6020bc70f1e4807cc70023a5,G2 Esports,21.643568262076396,4.470063194287507,NA
605aca6853a71a78eacbc155,FaZe Clan,32.76194982694341,4.3780512613179,NA
6020c370f1e4807cc702fc9c,Team Vitality,18.35756909871885,4.985463952219122,EU
60fe680d87f814e9fbffe57a,SMPR Esports,30.499759942029964,3.785889826467088,EU
6065dbab45122f213019c81f,FURIA Esports,19.279071504258994,4.989371283121393,SAM
